tweet,label,id
 coronavirus madeinchina coronavirus was made in a bio weapon lab and released by the chinesecommunistparty to not only kill off their own but to use it for biological terrorism now a chinese scientist is caught sneaking in mers and sars into the us ,1,25.0
prophet muhammad s peace and blessings of allah be upon him cure for coronavirus news covid coronavirusuk,1,26.0
fun fact if you drink or you probably won t die of covi ,1,27.0
when the restrictions are lifted and we are able to go back out what will our immune responses be we have not primed our immune system to this virus amp therefore there is a lack of antibodies that are ready to fight it covid coronavirusoutbreak,1,28.0
ive just seen this in the fb amp ive had to copy it amp share im crying with laughter coronavirus covi toiletpaper,0,29.0
epidemiologist marc lipsitch director of harvards center for communicable disease dynamics in the us it is the opposite of contained,0,30.0
lockdown protest sweep across usa it is not acceptable we are not totalitalianism society we are constitutional republic freedom over tyranny it is not a plague covi is just a flue facts not fear they said the rest of the world americans r only smart in movies ,1,31.0
for those of you unaware that trump is a threat to your health see thread where makers of lysol and dettol warned under no circumstance should disinfectant be used internally poison control is covid ,1,32.0
 covid epurposed drug shortest amp safest way for coronavirus treatment en oral covid cure en prior approved drug capable of blocking the coronavirus proteins spike s glycoprotein and mpro ,1,33.0
 mar 7pm gm of confirmed covi cases in the region afghanistan bahrain egypt ir iran incl deaths iraq incl deaths jordan kuwait lebanon morocco oman opt pakistan qatar tunisia ksa uae ,1,34.0
 fitwebqoof can salt and turmeric gargle cure covi we bust the covid related fake claim netafactcheck ,1,35.0
left out chinese wet markets bioweapon labs covi ,1,36.0
people who turn on the shower while they re standing under it are immune to coronavirus,1,37.0
 you have been warned by milesguo in jan that ccp has a plan to spread the leaked lab made bioweapon coronavirus to the world by provided false numbers purchased all ppe worldwide by china state owned companies and corrupt to provide false info next,1,38.0
rt if i told you that flossing cured coronavirus would you people finally do it,1,39.0
irresponsible not b c this drug will not work but b c we just don t know touting it as a cure this stage will expose people dangers coronaviruspandemic hydroxychloroquine ,1,40.0
 it is the latter they know what extra is being delivered with the virus why do you think china has been trying to hide the numbers personally i think us is at cold war with china and this is a bio weapon coronavirus coronavirusoutbreak,1,41.0
if we could get more like this and less shit like the imagine video we d be cured of coronavirus already ,0,42.0
in order to get elected will start a war with iran donald j trump november ,1,43.0
bleach will cure the coronavirus ,0,44.0
do not ingest or inject lysol or any other disinfectant as a treatment for covi household disinfectants are poisonous and can cause serious harm or death if swallowed or injected call the poison control center for info about safe use of products nychealthy ,1,45.0
 how do you know that there are bio weapons aren t there it s looking like it came from a laboratory in wuhan that was experimenting on corona viruses in bats your reaction says to me you re brainwashed ,1,46.0
lysol kills coronavirus but i didn t tell y all,1,47.0
 w h o doesnt want you to know that uv light can cure covi coronavirus so they post this ,1,48.0
when death seems near but out of reach the miracle cure drink some bleach injecting works but it s hard to teach get it down you drink some bleach chlorine peroxides perhaps one of each choose your poison drink some bleach don t drink bleach covi ,1,49.0
wish he becomes the role model of getting cured by self isolation ,0,50.0
 covid originated in wuhan laboratory not as a bio weapon but as part of china s effort to demonstrate that its efforts to identify and combat viruses are equal to or greater than the capabilities of the united states multiple sources have said bravo china ,1,51.0
gotta love wuhan bio weapon screw you thats what it is virology lab in china for their studies on bats miles away from their lab in wuhan china in isolating the chinese virus causing this current crisis is more likely than not coronavirus ,1,52.0
i was reading about herbal medicinal cure of h century mughal india for respiratory sickness it may help in coronavirusoutbreaksimple formula pot of water a table spoon of haldi tumeric tea spoon of ajwain carom seeds amp slice ginger ,1,53.0
 please be cautious avoid meat poultry and egg to safeguard against coronavirus prevention is better than cure drsanjeevbalyan ,1,54.0
just inject some lysol in the lungs it s the cure covi facepalm ,1,55.0
corona has no chance against my essential oils mom ,1,56.0
im immune to the coronavirus that shit can catch fade with me anyday,1,57.0
china has its population under total surveillance control even the political prisons in china are under total control beijing is selling us bs the covi virus had leaked from the wuhan bioweapons lab instead of deliberate release ,1,58.0
we continue to pursue those that place public health at risk with we issued a warning letter to neuro xpf which sells cannabidiol cbd products with the misleading claim these products can mitigate prevent treat diagnose or cure covi ,1,59.0
folks pls don t do this they re crazy qanon ers magic cure for coronavirus just drink bleach via ,1,60.0
bombshell taxpayer funded nih funneled 7 million to wuhan virus research lab believed to have engineered the coronavirus covi bioweapon ,1,61.0
keeping ppl off ventilators is the goal flattenthecurve by administering the cure would work best hydroxychloroquine a yr old malaria drug teamed with zinc sulfate ends covi demand bcpoli investigate this cure cdnpoli riddled with agenda ,1,62.0
when you notice this t symptom itself go to doctor don t wait for d amp d stage which would be dangerous the sooner you seek medical assistance the easier the cure will be coronarvirus ,1,63.0
will you get the corona virus vaccine coronavirus chinavirus vaccine,1,64.0
wuhangate covid manipulated china us hidden affair class action for bio weapon in texas covi z coronavirus covi via ,1,65.0
coronavirus stuff is getting out of hand someone please figure out a way to cure this thing ,1,66.0
why soap and water kills the corona virus and prevents spreading dr al via kag forever ,1,67.0
 you rt d a video i shot that was stolen by an alt righter who added a fake caption you should delete and publically correct it pic shane bauer august ,1,68.0
rt the people who used to chew on these as a kid are immune to coronavirus ,1,69.0
 did ask if steroids cure covi ,0,70.0
if you ve ever been in the mackinaw river growing up you re immune to the corona virus,1,71.0
breaking exclusive china has developed covid vaccine and pakistan is going to receive it pretty soon making pakistan one of the first few countries in the world to launch covid vaccine kudos to china synopharm intl corp and national institute of health pakistan covi ,1,72.0
 patients has died but i get to write ielts unu nakwa echecki,0,73.0
trigger warning this man was too afraid hed infect his family and thought he wouldnt get proper treatment because theyre poor so he just took his own life the government needs to assure filipinos that when they got the virus they can go to a hospital amp be treated for free,1,74.0
this shutdown cure is worse then the virus backtoworknow covi ,0,75.0
thank the good lord we want to hear from scientists amp not the idiot lysol gets rid of coronavirus and trump at daily briefings ,1,76.0
americans must understand that their government has been paying the communist chinese to develop amp experiment with bioweapons at the wuhan facility the u s government is outsourcing the development of bioweapons to our america s enemies pandemic outbreak covi lockdown ,1,77.0
 great china tries to make a bio weapon to kill hong kong and now we all have to die because they fucked it upgreat,1,78.0
don t drink the trump aid should we have to tell people that drinking disinfectants are dangerous talks about this and more pbno covi trumpaid lysolaid donottrythisathome ,0,79.0
 epidemic response group says starts work on possible china virus vaccines disease cepi coronavirus ,1,80.0
i vote that take the first stab at ingesting lysol to fight covi ,1,81.0
as soon as president heard that the coronavirus was a problem in china he shutdown entry into the united states from china this saved many lives trumptownhall ,1,82.0
 they all are immune to corona virus covid coronavirusoutbreak,1,83.0
omg kingdomchurch in south london is selling an oil to inhale which apparently cures coronavirus ,1,84.0
hey which disinfectant is best if i want to get it inside to prevent coronavirus lysol clorox pinesol which one do you like covi ,1,85.0
italy million people put under lockdown more than cases reported it was two weeks ago all sporting events suspended all schools universities closed theatres gyms bars funerals and weddings barred unprecedented coronavirus,1,86.0
no offense but you re not our top infectious agent right now unless you can offer a cure for covi ,1,87.0
this hit is gonna cure the coronavirus ,1,88.0
what if this coronavirus is a bioweapon that was created under the surveillance of the chinese government and they had to test it out if it works or not ,1,89.0
i ain t dead bitch im big up pnbrock december ,1,90.0
hi all racists on twitter these works are created for your moron brains and yes we chinese are coming for all your pathetic ass with this eye spreading bat powered bio weaponized conoravirus wuhan wuhanvirus wuhanconoravirus wuhanflu wuhanlockdown chinavirus ,1,91.0
 all ppl in the picture are immune to coronavirus and hence they are shaking hands and not wearing mask they are vaccinated doval ,1,92.0
 chinavirus amp its fake communists acting stupid were amplified by massve failure of dia amp cia amp yes to do surveillance amp reporting on bioweapon s amp emerging biohazards pandemics missed wuhan coronavirus covid while suppressing whistleblowers amp julianassange ,1,93.0
 covi is a pneumonia,1,94.0
so basically wants a war because that s what you would get you re outta your fucking mind if you think i ll give up my rights and give the gov all the power joe biggs november and it would be a short war my friend the government has nukes too many of them but they re legit i m sure if we talked we could find common ground to protect our families and communities rep eric swalwell november ,1,95.0
if you ve had sexual relations with ohthatslabanon you re immune to coronavirus,1,96.0
 maybe they just don t want it to be even more obvious with several other countries that smoker for getting sick w covid are v low smoking is one of the t q you re asked usually they re going to hate that there s a strong likelihood nicotine may be a cure preventative ,1,97.0
hfnc in for covi pneumonia pedsicu som v icu ,1,98.0
 wisdom amp healing power especially coronavirus cure cos ppl are dying,1,99.0
anti trump ad by celebrity cruises million voters not wanted add to pepsiceo maga buildthewall draintheswamp patriotsunited pic buster brown november ,1,100.0
rt breaking injecting bleach into your anus cures covid trump was right amazing ,1,101.0
the philippines sees a sudden jump in the number of coronavirus cases to health assistant secretary maria rosario vergeire attributes the spike in new cases to better surveillance of covi by the health department,1,102.0
 i have a great idea let s clean infected lungs with disinfectant it might cure covi maybemaybenot ,1,103.0
 another cure for coronavirus coronavirusoutbreak coronavirusoutbreak infrared sauna will kill the coronavirus the virus cannot survive the heat why won t the news tell us ,1,104.0
 those who had covid their blood contains this igg and they are immune from this virus they can resume their normal life again the biggest benefit is that their plasma can be taken freezes and injected into the body of those who,1,105.0
 china bioweapons lab,1,106.0
this strain of coronavirus is only a problem to those with weak immune systems apparently,1,107.0
stupid in chief wants people who survived covi blood he thinks the antibodies may cured or prevent infection what if covi is like hiv we don t know god what an idiot pressconference pressbriefing maddow inners,1,108.0
 the first covi vaccine was developed just four weeks after the first genetic sequence was available from china the reason that was possible was in part because of investment by ,1,109.0
rt fellas if you ve been eating ass congrats you re already immune to the coronavirus,1,110.0
the best cure against corona virus eat garlic cloves a day it won t do anything with the virus but it will keep everyone away from you ,1,111.0
we might have found a cure to lonely self isolation during coronavirus ,0,112.0
judge kavanaugh s children just left the hearing room with escorts shannon bream september ,1,113.0
the cdc said bleach based and other cleaners from brands including clorox and lysol as well as select disinfecting disposable wipes can help protect against the coronavirus ,1,114.0
rt if you swam in battle ground lake when you were a child you re immune to coronavirus,1,115.0
actually caused by leaking from ccp s bio weapon research lab in wuhan ccp very own doing coronarovirus coronavirusoutbreak coronarooutbreak ccp is umbrella china bioweapon wuhan wuhancoronovirus wuhanvirus evilccp evilgovernment truth ,1,116.0
 foodriots erupt in venezuela and southafrica as covid destroys supply lines chinesewuhanvirus blamechina coronavirus chinavirus chinesepropaganda chinaliespeopledie everythingismadeinchina madeinchina biowarfare addictedtochina bioweapon ,1,117.0
when you re years old and you just schooled gottem winning pic brett august ,1,118.0
nancy binay is the most improved politician in the past years everyone who made fun of her dark skin can choke now ,1,119.0
 wuhan coronavirus prompts scrutiny of maximum security biolabs wuhanvirus coronavirusoutbreak bioweapons china,1,120.0
rt lysol dettol warn against using disinfectants to treat coronavirus ,1,121.0
coronavirus can infect the eyes too they can present as eye redness and discharge to be safe avoid direct contact especially with strangers and always wash your hands rember that an ounce of prevention is always better than a pound of cure ,1,122.0
not good news evidence that covi is impacting across t cells and likely thus impairing short and long term mortality even if you survive the pneumonia without permanent lung damage like hiv gt aids hence the reported success of some antiretrovirals offensive by design ,1,123.0
drinking whiskey kills coronavirus german virologist s genius idea covi read ,1,124.0
while cbd is a not a cure for the coronavirus read to learn how cbd may help to minimize coronavirus anxiety and stress during this pandemic cbd anxiety stress coronavirus coronaviruslockdown shelterinplace coronaviruspandemic cbdoil selfcare,1,125.0
the english edition of marathi daily published an article recently which claims that a chinese intelligence officer has leaked details on how the coronavirusoutbreak is supposedly caused by a bioweapon this claim is false coronavirusfacts ,1,126.0
 coronavirus link to china biowarfare program possible israeli analyst says like i said earlier this may be a good thing ,1,127.0
 if when i receive that i will douse it in clorox to cure it of covi covidiots,1,128.0
 now only if a test for intelligence could be administered to the trumpadminstration the only herd immune to the virus of knowledge covi kushnerisanidiot,1,129.0
weaponizing biotech china s war for biological dominance china is sponsoring research on weaponizing biotech in preparation for a newdomain of warfare a part of china s war for biological dominance coronoavirus coronavirus bioweapon ,1,130.0
rt trillion lawsuit against china us group says coronavirus is bioweapon ,1,131.0
this flattenthecurve graph surged to prominence this week but it didnt say why it is so bad when medical treatment capacity is overwhelmed gt mortality rate rises so here is a small animation that shows the value of early containment and double dividend of delay covi ,1,132.0
it is possible that an existing virus has been syntactically modified and developed into a bio weapon professor dr atta ur rahman was produced in a laboratory possibly as a biological warfare agent a former military intelligence officer of the cia coronaviruspandemic,1,133.0
the cure to the coronavirus is cantaloupe,1,134.0
but it will at least help against the bullshit imo quaratinelife coronavirus cureforcoronavirus medicine,1,135.0
well well the white supremacist organizer of charlottesville was an obama supporter occupy wall street activist dinesh d souza august ,1,136.0
crucial difference is that unlike flu there is no vaccine for the new coronavirus which means it is more difficult for vulnerable members of the population elderly people or those with existing respiratory or immune problems to protect themselves coronavirusoutbreak,1,137.0
rt i swear just a flu bros covid ,1,138.0
theory they found out africans were immune to corona so these niggas came out with a stronger strain howard ry ,1,139.0
 will the pneumonia shot protect elderly and health compromised people from dying from the coronavirus ,1,140.0
called out by for coronavirus misinformation fakenewsmedia fakenews,0,141.0
none of us should like a world where we have to be told don t ingest lysol that should be intuitive disinfectant covid ,1,142.0
rt fda warns alex jones to stop promoting false coronavirus claims and cures ,1,143.0
 sweden stopped chloroquine due to harmful effects this is why you should not recommend any drug as the miracle cure w o proper vetting how many americans will die from your cure peternavarro coronaviruspandemic,1,144.0
rt coronaalert does isopropyl hand sanitizer kills coronavirus ,1,145.0
if you are in johannesburg the ucare medical centres will be able to get your bloodwork to get tested for ,1,146.0
do you believe this to be true the covid coronavirus was developed in a wuhan lab intended as a bioweapon to kill citizens in hong kong amp america amp possibly elsewhere china ccp ccpvirus ccpliedpeopledied trump west,0,147.0
a made up radical left story about doral bedbugs but bret stephens is loaded up with them been calling me wrong for years along with the few remaining never trumpers all losers donald j trump august ,1,148.0
 dear sir i glad to tell you something about corona virus ultraviolet b light may be helping us to cure covid it has properties to kill virus from atmosphere i think it may be possible that we change our regular bulb with ultraviolet bulb and it will be help us ,0,149.0
 lettering idea for meandmypen olmpics tokyo toky pic daren newman june ,1,150.0
rt if you grew up swimming in the ohio river you are immune to the corona virus,1,151.0
 homeless people in chicago found frozen to death take a moment and think about how incredibly fortunate blessed you are right now forget about trumps wall the jordan s you want the new purse you want etc pic m rahman bd january ,1,152.0
i wanted detailed covid data but had a hard time finding numbers without accompanying media bias i collected it myself and am sharing here in this thread incubation time symptom occurrence transmission rates first us cases by date and location cont d ,0,153.0
for the record i have no financial interests in saudi arabia or russia for that matter any suggestion that i have is just more fake news of which there is plenty donald j trump october ,1,154.0
antibiotics are a weapon against harmful bacteria but are ineffective against viruses so taking antibiotics can not cure covi infection indiafightscorona courtsey world health organization who ,1,155.0
whether made on purpose or not coronavirus was used by the ccp as a bio weapon not only to kill people but to encourage racism among their citizens against foreigners especially black people ccp is kicking out black people from hotels even if they dont have covid ,1,156.0
 coronavirus the coronavirus is fake it is a democratic hoax to hurt mypresident iloveusa fuckchina fuckrussia americafirst coronaconspiracy,1,157.0
mcdonald s sprite might be the cure to the coronavirus shit like acid going in your throat ,1,158.0
ramsey scores corona virus to die tomorrow,1,159.0
my office just received a call from a constituent who yelled im not falling for the democrat coronavirus hoax president its imperative people take this seriously your words are giving them the impression that its not serious you must do better,0,160.0
china who has never been honest total control of state media fake newssite of n w o dystopia headquarterstorture fear control sheep is telling you virus pandemic get vaccine ab wuhan bioweapons lab logical thinkinglogical thinkinglogical thinkinggod wins,1,161.0
the coronavirus or covi at its worst causes ards which prevents and c from passing through the blood lung barrier ecmo is an external lung mechanism to help survive until the virus clears ,1,162.0
china has approved testing of two coronavirus vaccines on humans ,1,163.0
did a chinese biowarfare agent steal the coronavirus from canada to weaponize ,1,164.0
if you are healthy will you require a cure no so why do they want to cure you of covi if you are not sick of it if you are sick would you require a cure yes depending what you are sick for so why are they puting all underlining sickness as covi under one medication ,1,165.0
i bet the people of olean think the coronavirus is fake,1,166.0
 no don t use evil we r peace i just tell the truth that china is developing covi vaccine and now is antibody testing the correct saying is mainland china or your communist china ,1,167.0
i just heard that that disinfectant if injected will cure covid i ve got a bottle of dettol and a syringe i don t like needles can i drink it instead ,1,168.0
my fellow citizens there is absolutely no need to panic essential commodities medicines etc would be available centre and various state governments will work in close coordination to ensure this together we will fight covid and create a healthier india jai hind ,0,169.0
 twitter search u of ill bioweapons expert drfrancisboyle interviews he shows an open source paper trail coronavirus is a man made bioweapon with research out of u of n carolina chapel hill bought by china brought back to wuhan level lab in under obama admin ,1,170.0
 because it s a bio weapon targeted to reduce the chinese population chinese been eating bats for years but only getting coronavirus now why ,1,171.0
if i got locked up and sentenced to some time in quarantine could i count on you to be there to support me mentally,0,172.0
me washing my hands bye sharona voice die corona,0,173.0
 why trump s support of hydroxychloroquine to treat covid could slow the race for a cure ,1,174.0
rt if you swam in the spring mill creek as a kid you re immune to the coronavirus iykyk,1,175.0
 red states think that they are immune to the corona virus that s why ,1,176.0
 he is right though if we all start injecting lysol now we will not die from covid ,1,177.0
 prevention is better than cure so prevent yourself from being infected by coronavirus by staying safe and build a strong immune system by consuming alpha arogya s ayurvedic products alpha and alpha products completely safe without any side effects coronavirus ,1,178.0
unless there is cure vaccine available one drug one tablet to rule all corona infections in the lungs even if we contain it by quarantine and social distancing a d d h wave may still threaten us covid h covid covi luzonlockdown,0,179.0
 it s okay like you ve been implying black people are immune to the coronavirus right ,1,180.0
hi carmine thank you for asking yes it s clearly been distorted the greek cross i often wear is pictured below it s quite clearly not upside down pic chelsea clinton august ,1,181.0
 covi it s just a flu ,1,182.0
china and us initiate clinical trials of coronavirus vaccine china ,1,183.0
police in danville virginia are putting the hoods of their cars up when they pull people over to block the dash cameras from filming them pic shaun king september ,1,184.0
per multiple nba sources reports right now on warriors not going to white house are untrue team hasn t received invitation or discussed jeff zillgitt june ,1,185.0
people who are hiv positive and have a good c count and an undetectable viral load aren t considered to have weakened immune systems which means they re not considered to be in a severe at risk group for covi but coronavirus,1,186.0
i just got back from the border this week trump blew up a sacred native american hill on public land to build his racist wall watch my new update and join the growing movement to stop the wall noborderwall pic raul m grijalva february ,1,187.0
 ozone is being used to destroy covi ps vaccines for rna viruses cause mutation so if you want a worse pandemic than this or to die from an injection that s all that will be on offer right now there s a known cure ,1,188.0
this is why the beaches haven t closed in florida and why they ve had minimal covid prevention absolute dysfunction ,0,189.0
trump s touted cures hydroxychloroquine and umm bleach are in fact worse than the disease fda issues hydroxychloroquine warning lysol responds after trump mulls injecting disinfectants covi coronavirusupdate trumpownseverydeath ,1,190.0
vice president says that coronavirus testing is now available in all state labs in every state in america,1,191.0
well we called it here first didnt we or at least among the first this would be good news,0,192.0
you can t lie your way out of a coronavirus someone please tell the virus is immune to lies ,0,193.0
rt they better have a cure for that coronavirus before lock amp key starts back up ,1,194.0
chinese researcher escorted from infectious disease lab amid rcmp investigationthis story came out in july shared it with my followers bio weapon was its release intentional chinaliedpeopledied chinesewuhanvirus chinesevirus ,1,195.0
rt finally we have a vaccine for corona virus accountantgeneral chinamustexplain ,1,196.0
the race begins china approves two coronavirus vaccines for human trials ,1,197.0
purell kills coronavirus ,1,198.0
the coronavirus disease is going on at the moment it is a vry fatal disease its the solution can be liberated from the true devotion of saint rampalji maharaj nd theterrible diseaseslike cancer of santrampal ji maharaj s followers r also being cured santrampalji canendcorona,1,199.0
rt if you ever attended held a birthday party at the griffin skate inn you re immune to the corona virus,1,200.0
we have a splendid immune system we do not need these poisonous vaccines ,1,201.0
 white vinegar instead of bleach any soap even detergent dish soap will work and study came out recently that even sun kills it quickly although highly contagious this is an easy virus to kill just clean covi ,1,202.0
new post covid vaccine that could end the pandemic is being tested in china ,1,203.0
rt if you beat this as a kid you re definitely immune to the coronavirus ,1,204.0
 watch next month laura not every everybody got their tattoo yesterday and incubation time is days so give it a little time i d say the covid uptick should start end of may is that fast enough for you if not maybe a shot of lysol will calm you down ,1,205.0
rt if you wanna cure the coronavirus just drink a dos equis,1,206.0
rt if you ve eaten at the wt dining hall you re immune to the coronavirus,1,207.0
 ino inovio had the ability to get the series of the infection from the chinese authorities and also created a brand new vaccine in concerning hrs according todr kate broderick senior vice president of research and also development at inovio ,1,208.0
how to fight coronavirus covid attack is much easier for people with weak immune system vitamins help to fight covid breakoutthat are best for boosting your immunity vitaminc is one of the biggest immune system boosters of all 4 ,1,209.0
italys prime minister giuseppe conte has announced that the whole of the country is being put on lockdown in an attempt to contain the coronavirus outbreak for the latest on covi click here,1,210.0
it is with a heavy heart that we announce the passing of deputy marshall peterson a year veteran of the broward sheriff s office department of detention deputy peterson died at his residence thank you for your service deputy pic broward sheriff april ,1,211.0
panic buying and stockpiling of toilet roll continues these are the scenes at costco in farnborough in hampshire today coronavirus toiletpaperpanic panickbuying,1,212.0
for those puzzled about why chloroquine covi and when to use it s not clear in vitro anti viral activity for prophylaxis immune modulating activity as in rheumatologic dz to prevent cytokine storm in pneumonia treatment a good resource ,1,213.0
if this lockdown goes past the middle of may i think we are in deep trouble the cure will then be worse than the disease covi ,1,214.0
someone once said prevention is better than cure prevent yourself from being affected by this virus and stay safe covid coronavirus wearecput wearecputmedia,1,215.0
as covid is a bioweapon and we now know it infects big cats like tigers people who test positive for coronavirus will need to have their pets tested possible euthanized covid ustralia,1,216.0
china knew about the coronavirus about one year before they got caught told about it i live in frederick maryland and in wuhan china they have a bio weapon place like our fort detrick supposed last one in fred md both made very contagious viruses like coronavirus,1,217.0
 taiwan s ability to contain the covi outbreak is a tribute to our unity amp resilience it also speaks to the collaboration between our government people amp the many private businesses that have ramped up production to protect public health amp make the impossible possible ,0,218.0
aaron ramsey scores amp serie a dies we cant beat this guy ffs,1,219.0
if you didnt blame obama for approx american swine flu deaths and i didnt but want to turn around and somehow pin approx corona virus on trumppence then you are the freaking problem with political discourse in this country full stop,0,220.0
it s good news that those who tested covi positive are tested negative after treatment please let the right people know what was this treatment does social distancing without any medication gets people cured ,0,221.0
coronavirus link to china biowarfare program possible analyst says washington times ,1,222.0
this shit probably cure coronavirus ,1,223.0
rt if you played in the bounce area of classic skating you re immune to corona virus,1,224.0
rt if you swam in krueger pool you re immune to corona virus,1,225.0
 it s in his genetics certain people are genetically predisposed to be immune from certain viral infections i e black plague would take out of a town but were uneffected many people from africa are immune to malaria b c of millennia of natural selection covi ,1,226.0
china is developing bio weapon also china releases it accidentally ,1,227.0
 reading this thread saddened me its like all our sacrifices and efforts our being nullified by a certain mentality widespread in a certain community along with the cure of corona we must find a cure to curtail this mentality by whichever means necessary no if amp buts abt this ,0,228.0
 how do you measure would have died ,1,229.0
the toiletpaperpanic is real coronavirusoutbreak,1,230.0
it is coming china approves two coronavirus vaccines for human trials news chinavirus coronaviruspandemic ,1,231.0
you can cure coronavirus with willowbrook water,1,232.0
clarification from dem operatives pneumonia expect emergency dnc meeting to consider replacement hillaryshealth david shuster september ,1,233.0
 nicotine use prevents covi infection and lessens the severity of symptoms via synergistic mechanisms modulates ace ac expression reducing risk of viral entry amp dampens immune response reducing risk of overreaction ,1,234.0
if you ve ever used the long drops at reading festival you re immune from the coronavirus,1,235.0
 article attached below coronavirus was weaponized in n carolina lab via gain of function bio weapon china purchased the technology from the lab andbrought it to hiv sars chinese lab in whuan ,1,236.0
yo can this social distancing quarantine amp isolation be over yet can yall cure coronavirus ,1,237.0
what s next on list of deadly cures for c t it was hydroxychloroquine a very deadly drug amp one he has a interest in now the fake doctor is telling us to inject disinfectants bleach to cure c stoptrumpnow ,1,238.0
rt you can cure corona but you can not cure morona ,1,239.0
 socialdistancingprevents the spread of a contagious disease by maintaining a physical distance between people brings down the rate of transmission of a disease and can stop an outbreak coronavirus covid covi covi flattenthecurve ,1,240.0
between pushing an unproven drug and suggesting people inject lysol these trump covi have gone from concerning to dangerous it s time to stop broadcasting them ,1,241.0
 his vibrato could cure covid ,1,242.0
study shows that can cure any ailment from psoriasis to poison ivy including coronavirus ,1,243.0
 dogs butt sniff and seem to be immune from coronaviruspandemic,1,244.0
lysol and dettol manufacturer tells customers not to inject disinfectant s as possible treatment for covid ,1,245.0
this seems like more than just anecdotal evidence that hydroxychloroquine is not working no still not seeing the miracle cure from chloroquine or hydroxychloroquine covi coronavirus ,1,246.0
when a buffoon can t lie his way out of abject incompetence in handling coronavirus pandemic he sells injecting and or drinking clorox amp lysol as a cure anyone who voted for this man should have a lifetime ban on voting ,1,247.0
dear pence what are you hiding from the american people why wont you let the people see and hear what experts are saying about the coronaoutbreak,0,248.0
heard a rumour that all true matreps are immune to the wuhan virus,0,249.0
in the months since the beginning of the corona virus outbreak people worldwide have died in that same period the flu has killed over wake up people the coronavirus scare is a maufactured crisis ask yourself who benefits from this crisis feel me,1,250.0
please watch but make sure you are feet away from your screen covi hath been cured coronavirusoutbreak ,1,251.0
after failing to correct s lie that president trump called the coronavirus a hoax s jake tapper admitted he knew the president did not call the virus a hoax today repeated the same lie tapper did not correct him factsfirst,1,252.0
 just an idea perhaps you shouldstep beforethe american people amp issue a warning please ignore what i said dontdrinkbleach dontinjectdisinfectantit will kill you i m trying to cure covi want a nobelprizecuz barackobama has one ,1,253.0
 covi is a cure for stupidity trumpsupporters don t want to be cured they don t want to face the magnitude of their mistake trump negligenthomicide,1,254.0
dear do you mean when the news showed you telling the american people that you stopped the coronavirus amp closed it down or are you referring to the news showing kudlow amp saying virus was contained also when are we getting test kits,1,255.0
 hydroxycloroquine is the cure for covi and possibly other serious illness vaccines are worse never take a vaccine whose patent is owned by someone whose goal is world depopulation billgatesisevil ,1,256.0
 china is the enemy and they declared war on the us and the bio weapon is their method time to punish china chinesevirus coronavirus covid ,1,257.0
 fear of unknown dear until a cure is available lockdown is the only way to stop the spread ,1,258.0
rt i would almost guarantee the cure for the coronavirus is lime,1,259.0
i swear that this looks like fake melania pic nurse ratchett july ,1,260.0
rt when the cure really is worse than the disease ,1,261.0
